username,comments
dea_nisaa,@muchnisaaa @wllnndriii_ @acullll._ pokoknya bapa elkam 1 putaran e😇😇
priskilabosawer,Ayokk dukung elisa kambu.. 2 periode bangun asmat .. tra gampang ..
bap_jj15,Asmat saja de bangun... Di atas rawa
rayjumame,Sampe jumpa di pelantikan nanti 03 Sudah terbukti Rawa saja di bangun dan terbukti apalgi yang su tanah keras begini 🔥.itu yg 01 problematik buat otsus tidak di hargai di tanah papua dan Jadi Oap cuman lewat Kertas itulah contoh pemimpin yang haus dan Rakus hati hari dengan orang ini kemarin ke raja 4 kota mcm kota tua 😢. Provinsi ini masih baru atau baru lahir untuk itu harus di pimpin oleh Orang Asli Papua itu Sendiri kita bicara bukti rekam jejak digital silahkan cari “Elisa Kambu” dan kandidat lainnya baru pilah siapa yang terbaik kita mau Provinsi Papua Barat Daya ini jadi contoh untuk provinsi papua lainnya karna kita berada di kepala bukan ekor. Hati-hati salah pilih orang yang rakus kekeuasaan dan Problematik salam Waras. 🫡
virgo30august,No urut 3 sudah terbukti.. bukan janji 🙏.. dinobatkan sebagai bapak pembangunan kabupaten Asmat 👍
owalincah,ELISA KAMBU PBD 01 ASMAT 2 PERIODE SAJA LEBIH MAJU DARI KAB PARIWISATA KH ITU WKWKWKWK
merlinfiay,Raja Ampat saja tidak maju Jan sampe Sorong dia gade lagi ..🤔😆
akut_paniai,No urut 1 otak kontraktor dan bisnis tu tra cocok jadi pemimpin nanti banyak  rakyat yang jadi korban
theovanirumbino,No Urut 1 RAKUS KEKUASAAN
uc.wms,"🔥🔥🔥🔥 Menyala no.5 entahlah siapapun itu asal bukan si problematik, R4 saja tdk jdi2 baru mo ambil tanggung jawab yg lbh besar ,hedehhh yg benar sjaaa Menyala OAP Aslii kuu🔥🔥🔥 🫶🏻😎"
jh0nathan97,Sa dukung Gubernur Orang Asli Papua
e.hlsln,HARUS OAP!🔥
ilhamda12,"Semoga yg jdi gubernur pak Bernard klo TDK pak Elisa, asalkan jangan pasangan si problematik itu."
eqinno14,Beb @riia_febriana pilih no brp? 😁
adestanto8,Pokoknya elisa kambu tong gass 🤟 Rawa saja bisa jadi beton apalagi daratan
jhebas__,Bpk Elisa Kambu 👏❤️
papuaa.girl,ELISA KAMBU FOR PBD 🔥❤️ HASIL KARYA JELAS DAN TERBUKTI DI ASMAT KOTA LUMPUR DI ATAS PAPAN BELIAU BISA BANGUN SEGALA MACAM INFRASTRUKTUR SERTA MEMBANGUN SDM DI ASMAT DENGAN SANGAT BAIK. ORANG LAIN PUNYA NEGERI SAJA BELIAU BANGUN DENGAN HATI YANG TULUS APALAGI NEGERINYA SENDIRI 😍
juragan_langsat06,Gas bapa kita anana bintuni juga ad di PBD😘
ksalawaney,Bapak Elisa kambu 1 putaran😍😍😍
just_memey_,Oap komit sj trausah pilih non oap 🔥
kdhw._,No. 3 kerja nyataaaaa 🔥🔥🔥
jackson_veerman07,ESA yessss
emzongway,🤟🤟🤟🤟🤟
sqlvien29,Bapak Elisa kambu 👍🏼👍🏼👍🏼😇😇😇
bap_jj15,Elisa kambu untuk PBD🔥
marselselaya51,Elkam❤️❤️❤️
popynovla,Belum Di Lantik saja banyak Drama dan Rusuh. Semoga dapat posisi karna kualitas.bukan uang yg beli posisi. #HukumTaburTuaiItuNyata.
niamalawat_,Arussss +gacorrrrr 😍 😍❤️
januarchristover,GAS NOMOR 3!!!
willmell.00,No 3 terbaik 💪🔥
kotak_makan12,"Masa depan Papua barat daya ada di tangan masyarakat... Saatnya memilih pemimpin Asli MOI,, memimpin di tanah adatnya sendiri 🔥🔥"
poppysesa3,Elisa Kambu 👍👍👍👍
nirwana8254,Pak bernar no brp
loyum____27,Maksutnya Trabisa rekam kandidat lain lagi bru hanya satu orang itu sja k bosan skaliii😩
s_archie18,Elisa Kambu harga mati
ola_cancer1293,Bapak Elisa kambu 🔥
sony_iek,nmr 3 terbukti memberikan pesan kesan yg luar biasa kepada masyarakat Asmat ❤️🔥🔥
itsbitinia,Bapak Elisa Kambu ❤️
em_su17,Elisa kmbu ❤️❤️❤️❤️❤️❤️❤️❤️
secilllhwy,Nomor Urut 3🤟🏽❤️
bufreng__,Elisa Kambu 1 putaran 🔥🔥
elisabethmalabelen96,Bapa Elisa Kambu Yg Menyala syg❤️❤️🔥🔥🔥
angky.m.t.n.a,03 🔥🔥🔥
24_ome,Elisa kambu sdh terbukti 🔥
bertidawenan,Elisa Kambu. 01 PBD amin. 🔥
adhewhell,No 3 Terbaikk 🔥👏
bintangnaga27,Harapanku hanya pada mu no urut 3 🙏✊🔥
neniii_m,ELISA KAMBU untuk PAPUA BARAT DAYA 🔥🔥🔥
oman_sahulata,Bapak Elisa Kambu 🙌
akut_paniai,Elisa Kambu 😍😍🔥🔥🔥❤️
cicijeniferbleskadit,ELISA KAMBU sudah terbukti 🔥🔥🔥🔥🔥
dwirianti0506,"Pokoknya yg coment pada pilih Elisa kambu,, saya like,,,"
novalia_enus,ELISA
__alfredo_n__,Kka Besar Elisa Kambu🙌🔥❤️
agnesrewang,Bapak elisa kambu papua barat daya❤️🔥
vicomanurung,"Saya tra mau berdebat, yg cerdas lihat track record saja, yang jelas cuma BAPAK ELISA KAMBU ."
thery.kim,Elisa Kambu untuk Papua barat daya...
meylia_wulansary,BAPAK ELISA KAMBUUUU❤️🔥🔥🔥🔥🔥 Bapak pembangunan  asmat
breezya_annamaria,"TIM BAPAK ELISA KAMBU > cerdas jujur sederhana pemimpin yang takut akan tuhan, 🫡✊🏽🔥 kalau bapa elisa kambu tidak bisa, tolong bapak gabriel atau bernard melanjutkan"
fatya.husein,Bapak Elisa Kambu ❤️
_marufatta__,Bapa Elisa kambu wajah orang tulus yang membangun Asmat dengn hati yang luar biasa terbaik Bapa Elisa Kambu ❤️🔥
chaerulimam__,Gaas Nomor Urut 3..Bapak Elisa Kambu dan Ahmad Nasrau 🔥
romanita_wynda,"Kita pendatang harusnya tahu diri lahir, kerja, makan di org punya tanah. Mereka yg buka kebun, kasih bersih , tanam, rawat semua br ko dari mana datang langsung mo panen hasilnya??? Tdk tau malu e. TOMBOL OAP WAJIB PIMPIN PAPUA BARAT DAYA ========>"
yurikempamenta,Tuhan Yesus sertai Bapa Elisa Kambu 1 putaran 😇🙏
meis_lewerissa,Tra heran sorong info ni 01 pu orang. Tidak netral sekali anda admin 😂
jhein_assasfa,Kam bikin kam pu akun to jang kam sampah dsini heran ee 😂😂😂
jheivie_,ingat….!!! Jangan Pilih Yg Problematik..
tata_mio88,Arus 🔥
hits_4540,Kalo 01 lolos brrt siap2. Sorong pu nasib seperti raja ampat😭😭. Otak cuma mo kumpul kekayaan saja. Iihhhhh tartau malu. Bukan oap baru (r*k*s)
qdhorusto27,YANG BUKAN OAP TIDAK DI AJAK😂 SEY SEY😂😂😂
angky.m.t.n.a,Saya pendatang oap saya dukung 💯
arie.gatam,Nomor urut 1 it suruh pulang enak smpe mau pimpin di tanah orang tidak tau diri
chun_funky_papua,Alhamdulillah 🤲🙏
goodday_panas,ARUS SIAP MEMIMPIN PAPUA BARAT DAYA🔥
eghaqueen,🔥🔥arus
lindariyantika,@luluhandayani39 @choryy92
rama.dhan029,Afu bungkus gubernur papua 🔥😎
eric_sean_17,"BPK pembangun PC EK, 🔥❤️❤️"
wihelminatrice21,01 menyala😇❤️
jhein_assasfa,🔥🔥🔥🔥 ARUS 1 PUTARAN
julia_umlati,Arusss kencangggggg 🔥🔥🔥🔥❤️❤️
p.thugs_store,ARUS TERLALU KUAT 🔥🤭
muhammad_awaludin_,Bapak afu Sa 👏👏❤️👊🔥
evaabudji,Aruss🔥🔥❤️❤️
syahrul_ramadhan64,Aruss 🔥🔥🔥
ima_alawohit14,"Arus main ini jangan coba coba, kalau kuat toma Arus boleh,  117 kampung saja  bisa keliling apa lagi cuman daratan ini."
oliviaaaa_budji,Arusss 1 putaran 🔥🔥🔥
olanajadehhh,Arus Jitmauu☝️😎
zainul_woy92,"Kasi kerasss,,arus manyalaaa🔥🔥🔥🔥"
samraan__,Biasanya angka 1 gacor sih🫵👊🏻
nenemoyang_underback,"Sorong info ni, unfollow dia karna ini 01 punya orang 🔥🔥"
nurakbar_hurani,Pokoknya papua Barat Daya maju dengan pilih nomor 1 🔥
el_farizi__,ARUS KENCANG EE😂
chye_arsya,Arus gass 01❤️❤️❤️🔥🔥
rottieronny,arus.🔥🔥
sengkuny609,Aruss teluk tambah kencang🔥🔥🔥
fhandysportsecond,Arus mulai kencang🔥
erlynda_kho,🔥🔥
thyykuss,@feninunenoo ada om ganteng gaul kita disitu 😁
deflan_photography,Macam PC arus muka saja yg dapat sorot k. Hahaha
ell140987,🔥🔥🔥
si_pecinta_lagu_timur,"Saya kaka Gabriel asem,,,🔥🔥🔥🔥 manyalaaa kaka kyuuu"
rndr_np,Orng lagi pada berebut kekuasaan mlah di  bela sgitunya 😢
rudhyhaluruk,Yok yok bisa selain nomor 1🙌
clief.dacosta,Jangan coblos No. 1😂
nilamapriliaa_,"@rfqistiaa_ dmn"" adaaa om aji seh😂"
allfattasoq,Arus terbukti royal untuk masyarakat tapi untuk kepala kampung kurang royal ☺
mamaumam,Siapapun yang terpilih semoga bisa di terima semua warga sorong dan amanah ..semoga kota sorong selalu aman damai 🔥🔥
jzzy_shya,🔥🔥
ayuu_kecilll,Intinnya msing2 pu pilihan mau pilih mana terserah sja. Klau Kam senang tusuk nmr sekian yg Kam tusuk klau Kam tra senang tusuk nmr sekian Kam tra ush tusuk ! Bgtu sja spya nnti lht saat penghitungan suara siapa yg dpt ! Dri pda ksian kota Sorong hncur cmn krna hal bgni Kam tra syg kota Sorong ka !
breezya_annamaria,🔥👏
jovicmrcll_,afu ka ini de masih maju e? sungguh tidak punya malu
musaapris_23,@rianmajala ko pilih yg mana ini😂
athafarishamzah,Sy dua pilihan Elisa Kambu dan orang moi..jdi Saudraku yg mna bagusny.??
moccacino_1345,Menyala kk ku🤪🤪🔥
sammiko_76,Awas serangan fajar😂
meymeyazurra,Ciee yg udah seneng nih udh dpt nomor 🤭 btw tp sayang capil dan RS su hancurr😅..
maria_sitanalatan,Tuhan Yesus pilih lah org terbaik yg pimpin Papua Barat daya ini🙏😇
tirza_howay,😂😂😂😂😂
iichoz,ORANG LAGI PADA BEREBUT KEKUASAAN KOK MALAH DIBELA SEGITUNYA
magdathely,"Yg penting su tau mana non OAP, tinggal pilih yg OAP saja"
herlambangrendy,tanpa disadari AFU pu elektabilitas dinaikin dgn sndrix 😂😂
kadrundongooo,Sio semoga Tuhan berkati kam pu pekerjaan. Kam makan org pu hak. Nnti karma  berlaku. Tdk di kamu tp di kam pu anak cucu
jefriadi219,ARUS 🔥🔥🔥
herlambangrendy,"saatx runtuhkan dinasti yg sudah sudah dr dinasti KPU, bawaslu smpe mo pemenrnthn jg mo dominan!!saat pemimpin baru runtuhkan dinasti"
meysaba24,Ko pu muka ceria sampe..scheran bukan anak kandung terlalu BKN diri
_ddmayalibitt,Aeeee
nandes_066,Fix elkam 1 putaran 🔥
warfandu_,😂😂😂
patrickgedy,🔥🔥🔥
bella_ellaela,No 1 gara-gara ko buat sorong rusuh. OAP tetap pilih OAP
mardniel,Pembangunan infrastruktur kabupaten Asmat bandara jalan aspal di rawa rawa Bapa Elkam 03 🙌🏿🔥
__sawen__story__22,"Pelajarilah aturanlayaknya seorang profesional,sehingga anda dapat mematahkan mereka seperti seorang seniman. 🙏🏿😇😎"
sonny.rmltr,Sorong info tra jelas infokan jg ke semua pasangan bukan hanya no 1
sonny.rmltr,Kami hanya mendukung yg sdh berbuat saat menjabat dulu
s_archie18,Asmat jdi contoh
_jujho,01 ni tra punya malu njir 😂
rabia_ummu_fadli,Kam pilih siapa?
febby.suri,Saya pilih yang orang asli Papua saja.
bioskop_sorong,Arus Andalan parah 😍😍🔥🔥
robert_stevenson86,Arus kencang banyak yang mau trnggelam🔥🔥🔥🔥
andremandaka,Sepertinya sorong info ni tim sukses alfaris ni
riearata,Arus bahaya 🔥🔥❤️
daniel_chareto,Adoo.. yang haus kekuasaan sehingga menggunakan segala cara untuk capai tujuan uang su pake banyak keluar untuk pemilihan nanti jadi gubernur kerja kasih kembali uang akhirnya masyarakat menderita selama 5 tahun.
uriniotto,Pilih orang MOI karon yaitu BPK Gabriel asem
reza_r_nainggolan,BARU HASIL DARI DEMO MANA ???
riia_febriana,Puji Tuhan no 3 🤟🏻 dari hati tanpa bayaraannnn 😇😇 aminnn
rudyprawar,👍👍🙏
