username,comments
lie_ackerman,"Kasiag eh, Peruri ko bikin susah 1 bangsa"
verrenlapian,@lie_ackerman wkwwk btul skali kka😂🤣
fitrydw,"sio bukan kam saja, diseluruh daerah tdk bisa akses e-Materai sa liat di tiktok😂"
endahiriani26,@fitrydw kyknya dong kira terjadi cuma sama dorang sja😂
azihloo,"@fitrydw mo bilang tapi, susah juga🤣"
vahh._,"@fitrydw btul kah jdi suh putus asa gara"" e-materai nii😂"
satriowarsan,"Harus aksi supaya BKN pusat segera memberikan solusi untuk maslaah ini, kalau memang e meterai tak bisa ya pakai meterai fisik saja kan beres padahal besok sudah tutup pendaftaran. Solusi cuma dua 1. Meterai fisik atau 2. Perpanjang pendaftarannya demikian"
a.musdar,@satriowarsan ini sangat setuju
ayunani.mn,"@satriowarsan sangat setuju, barang itu yg bs mudah knp harus d persulit, barang kalo tdk siap itu jgn kasih buat torang"
adhy8149,"Solusinya di perpanjang sj masa pendaftaran biar tdk ada yg di kecewakan..karna urus berkas"" sangat ribet"
vlnk2526,Contoh datang jam 9 pulang jam 2.. cjkck
ompet_junior,😁🙏
xx.cantikaaa,"bahh kam demo di peruri sn🤣indonesia seh teknologi blm canggih su sok"" pke e-meterai"
wongpapua_66,@xx.cantikaaa SDM tra mampu baru paksa ikut negara maju🤣
tante_cuuuuuuu,E-materai bikin sakit kpla😂
pc_kozulo,@tante_cuuuuuuu iyo
tante_cuuuuuuu,@pc_kozulo info E-materai nya dong kaka😂😂
pc_kozulo,@tante_cuuuuuuu tau kantor to?🤣
tante_cuuuuuuu,@pc_kozulo tdk sa buta maps🤏🤣
pc_kozulo,@tante_cuuuuuuu yoo hbs ko masih kecil jadi🤦‍♂️😂
tante_cuuuuuuu,@pc_kozulo keci skli🤏🙂
pc_kozulo,@tante_cuuuuuuu bagi yg tau” sja 🤣
tante_cuuuuuuu,@pc_kozulo sdh intinya yg tau E-materai dlu😂
wongpapua_66,"@tante_cuuuuuuu pergi ke tempat pengetikan di pasar remu saja, dong ada e materai. Sa pu su slesai karna sa bikin disitu."
vanlypanda,"""Jangan palak-palak besok juga tong kerja di kantor ini"" 👏👏👏"
mileniark,sabar ini seluruh indo jg galau bestieee😢
willy_marsell_hans_samori,Dari tgl 19 kam bkn apa.?
ruthjacklin6,@willy_marsell_hans_samori bikin takut 🤣
__crisstianoo,Itu lagi🤣
ameliachatrin,Neh kam jg org mau kerja saaja kam bkn dong taputar dng kam pu e-materai tuh sampeeeee
ferjiliaaaaaaaaaa,@ameliachatrin tong login erorrr kamee 😂
fahsyawally,@ameliachatrin yg sa tau itu pemerintah belajar dari kejadian CPNS  sebelumnya ada banyak sekali berkas dengan nomor seri Materai fisik dengan nomor seri sama(kaya baku pinjam materai tidak tempel begitu main ttd saja) jadi pemerintah mengantisipasi dengan E-Materai biar tidak terjadi berulang
ameliachatrin,@fahsyawally begitu siap e-ktp spya dong jang taputar org mau kerja ka mau isi berkas ka mau cari e-materaiiiii ka nehhhh su model kasi susah org.
ameliachatrin,@ferjiliaaaaaaaaaa siooo ah semangat adekku🥰🥰🥰
fahsyawally,"@ameliachatrin nah ituuu krna ada yg beli sampe 20 e-materai bahkan lebih banyak, hrusnya penyedia e-materai bikin pembelian dengan IP address yg sama dengan pembatasan IP addres, aplikasi pemblian juga hrus sertakan npwp dan ktp,sama pemblokiran proxy atau vpn untuk menyembunyikan ip addres asli"
alvarokalasuatt,@ameliachatrin Hehe coba mas @samuelreimas bantu jelaskan dulu 😁
gracedimara08_,"Sa diam sj di rmh br berdoa , krn sa juga ada kewalahan dng E meterai"
felisssss_mangasik,Cuma di sorong tes CPNS kacau😂🙏
loyal.toyal,"@felisssss_mangasik seluruh Indonesia 🙏🏻,"
syvamtrtb,@felisssss_mangasik nn ko tes jawa uda😂
felisssss_mangasik,@syvamtrtb siap😂
vinsfrans9,@felisssss_mangasik seluruh indonesia.cm Sorong yg su terlalu respon berlebihan sampai ke anarkis.tempat lain tdk
felisssss_mangasik,Betul itu
kinur_lita,"@charen_sutanto sio Kaka, org"" yg blm resume ni bkn karna babingung,tp su beli materai jauh"" hari cuma setiap bubuhkan, akun lgsung logout 😂 blm lg yg terkendala berkas"" yg blm lengkap, formasi yg dituju belum keluar, atau uang yg belum ada untuk beli materai,mknya dong tgu gajian dulu br bs beli 😂 selama blm lewat masa pendaftaran sah"" sj org protes dgn keadaan yg sedang terjd, Kam PU koment ni yg pantas ditertawakan 😂"
abcdjmine,@kinur_lita duhhhhhh
kinur_lita,@abcdjmine 😭😭😭🤣
fradilaa__,@kinur_lita up
kajull_b,@kinur_lita louder sist👏🏻
rzkyfs,"semua materai itu di distribusikan dari @peruri.indonesia jadi kalo mau marah” mending ke peruri, ini servernya down seindonesia. kalo mau demo di kantor pemerintahan, demo minta perpanjangan waktu sja jgn demo soal e-materai 🙏🏻🥲"
charen_sutanto,"@rzkyfs dong juga babingung, giliran h-2 kejar resume.. Knpa tdk resume dri jauh2 hari? Toh pendaftaran buka sdah dri bulan lalu loh 😂 tong su resume dri 2minggu lalu nih duduk tertawa lihat berita 😂"
