username,comments
ningsih_saragih,"Jangan"" ini yg kmrin d blg d FB ada org Hanyut.. tapi sy lupa siapa yg share kmrin 😢"
lhyprisilia,"@ningsih_saragih sdh sy kirim info in k yg di maksd, yg ade laki”ny hanyut .. sy sruh cek .."
ningsih_saragih,@lhyprisilia Ia kak..
ningsih_saragih,@lhyprisilia semoga segera Dpt titik terangnya
gultom_elprida,@ningsih_saragih kalau yg hanyut kmren itu ktx di Laut Dekat pulau SOP🙏🏼🙏🏼
lhyprisilia,@ningsih_saragih amin … 😇
ningsih_saragih,@gultom_elprida Ia kah kak.. kmrin mmng sy ada baca info ada org Hanyut tapi lupa lokasinya sma nama yg share 😁 Semoga semua dpt titik terang kak ! Biar keluarga juga ga Mencari trlalu lama 😌
aldita2796,@ningsih_saragih
nirwana8254,@ningsih_saragih klau yg pastinya yg hanyut dgn perahu kk korban tinggal di kampung salak
nirwana8254,@lhyprisilia ia betul ada tattonya
korain_nz,"Admin, korban ini keluarga di km17, keluarga sudah amankan Jenasah . Beliau Meningal Karena punya kelainan mental yg akhirnya dia jatuh dari jembatan ke bawah kali lalu tengelam. Tidak ada pembunuhan atau apapun. Terimakasih"
aril_armna,Bru ketemu tdii kh?
thef4jrn,@aril_armna ah tidak su dari kmrin
yaan_baru,Sayang ahh. Selamat jalan bro Tinus. Tuhan sayang disana.
defiauspessy__,@mutiaraningrum_ curiga berat dngn mace ini yg rmh dkt 😭
defiauspessy__,@mutiaraningrum_ rusakkkk😭😭😭
ajijun02,😮😮😮
prilie_apryl,😮😮😮😮
zazilaprakarsa,Innalilahiwainnailahirojiun astagfirullahaladzim
rajeslanm,Hanyut di laut.. bukan Di sungai..
adeinsos_07,"Kota ini semakin aneh2 , Its not normal , tapi semua bikin kaya orang normal ga ada orang meninggal di kali yg cetek  bgitu , pasti di bunuh baru di buang , macam bunuh orang ketemu mayat di kota ini jadi semakin di normalkan , so sad😢"
mama_muda_ini09,Iya kak cba cek identitasnya brng kali suami tmn sy yg hanyut
nurpratiwiwly92,Padahal tdi pagi bru lewat situ pantasan rame sekali
lopus_frasawi,Siooo kaka Tinus aahh Kemarin Bru jumpa di baru 😢
ferdinando.antoni,Semakin parah di sorong
gilbert28329,Kali aimas bagian mna ka it
vicho_sandra,@gilbert28329 itu kali samping bank Papua aimas kk
gilbert28329,@vicho_sandra ow yg di alun”samping pak Eko it
ningsih_saragih,"Jangan"" ini yg kmrin d blg d FB ada org Hanyut.. tapi sy lupa siapa yg share kmrin 😢"
lhyprisilia,"@ningsih_saragih sdh sy kirim info in k yg di maksd, yg ade laki”ny hanyut .. sy sruh cek .."
ningsih_saragih,@lhyprisilia Ia kak..
ningsih_saragih,@lhyprisilia semoga segera Dpt titik terangnya
gultom_elprida,@ningsih_saragih kalau yg hanyut kmren itu ktx di Laut Dekat pulau SOP🙏🏼🙏🏼
lhyprisilia,@ningsih_saragih amin … 😇
ningsih_saragih,@gultom_elprida Ia kah kak.. kmrin mmng sy ada baca info ada org Hanyut tapi lupa lokasinya sma nama yg share 😁 Semoga semua dpt titik terang kak ! Biar keluarga juga ga Mencari trlalu lama 😌
aldita2796,@ningsih_saragih
nirwana8254,@ningsih_saragih klau yg pastinya yg hanyut dgn perahu kk korban tinggal di kampung salak
nirwana8254,@lhyprisilia ia betul ada tattonya
korain_nz,"Admin, korban ini keluarga di km17, keluarga sudah amankan Jenasah . Beliau Meningal Karena punya kelainan mental yg akhirnya dia jatuh dari jembatan ke bawah kali lalu tengelam. Tidak ada pembunuhan atau apapun. Terimakasih"
aril_armna,Bru ketemu tdii kh?
thef4jrn,@aril_armna ah tidak su dari kmrin
yaan_baru,Sayang ahh. Selamat jalan bro Tinus. Tuhan sayang disana.
defiauspessy__,@mutiaraningrum_ curiga berat dngn mace ini yg rmh dkt 😭
defiauspessy__,@mutiaraningrum_ rusakkkk😭😭😭
ajijun02,😮😮😮
prilie_apryl,😮😮😮😮
zazilaprakarsa,Innalilahiwainnailahirojiun astagfirullahaladzim
adeinsos_07,"Kota ini semakin aneh2 , Its not normal , tapi semua bikin kaya orang normal ga ada orang meninggal di kali yg cetek  bgitu , pasti di bunuh baru di buang , macam bunuh orang ketemu mayat di kota ini jadi semakin di normalkan , so sad😢"
mama_muda_ini09,Iya kak cba cek identitasnya brng kali suami tmn sy yg hanyut
nurpratiwiwly92,Padahal tdi pagi bru lewat situ pantasan rame sekali
